Timestamp,Name,Q1,Q2,Q3
01/01/2023 00:00:00,User_0,No,Dissatisfied,N/A
01/02/2023 00:00:00,User_1,Yes,Very Dissatisfied,Male
01/03/2023 00:00:00,User_2,No,Satisfied,Other
01/04/2023 00:00:00,User_3,yes,Very satisfied,Female
01/05/2023 00:00:00,User_4,Yes,Very satisfied,Other
01/06/2023 00:00:00,User_5,yes,Satisfied,Male
01/07/2023 00:00:00,User_6,0,Very satisfied,F
01/08/2023 00:00:00,User_7,No,Dissatisfied,N/A
01/09/2023 00:00:00,User_8,Y,Neutral,N/A
01/10/2023 00:00:00,User_9,1,Very satisfied,M
01/11/2023 00:00:00,User_10,Yes,Satisfied,Male
01/12/2023 00:00:00,User_11,1,Neutral,Male
01/13/2023 00:00:00,User_12,Y,Satisfied,Female
01/14/2023 00:00:00,User_13,1,Dissatisfied,Female
01/15/2023 00:00:00,User_14,0,Satisfied,Female
01/16/2023 00:00:00,User_15,yes,Dissatisfied,F
01/17/2023 00:00:00,User_16,yes,Very satisfied,Female
01/18/2023 00:00:00,User_17,Yes,Neutral,Male
01/19/2023 00:00:00,User_18,1,Very Dissatisfied,Female
01/20/2023 00:00:00,User_19,1,Neutral,Other
01/21/2023 00:00:00,User_20,N,Very Dissatisfied,Other
01/22/2023 00:00:00,User_21,yes,Very satisfied,M
01/23/2023 00:00:00,User_22,N,Satisfied,Other
01/24/2023 00:00:00,User_23,Yes,Dissatisfied,M
01/25/2023 00:00:00,User_24,yes,Dissatisfied,Other
01/26/2023 00:00:00,User_25,0,Dissatisfied,F
01/27/2023 00:00:00,User_26,Y,Very satisfied,M
01/28/2023 00:00:00,User_27,no,Very satisfied,Other
01/29/2023 00:00:00,User_28,No,Very Dissatisfied,M
01/30/2023 00:00:00,User_29,No,Neutral,N/A
01/31/2023 00:00:00,User_30,0,Neutral,M
02/01/2023 00:00:00,User_31,no,Satisfied,Other
02/02/2023 00:00:00,User_32,no,Very Dissatisfied,Male
02/03/2023 00:00:00,User_33,Yes,Very satisfied,Female
02/04/2023 00:00:00,User_34,0,Very satisfied,M
02/05/2023 00:00:00,User_35,yes,Dissatisfied,N/A
02/06/2023 00:00:00,User_36,Y,Very Dissatisfied,M
02/07/2023 00:00:00,User_37,No,Very Dissatisfied,M
02/08/2023 00:00:00,User_38,no,Very satisfied,Female
02/09/2023 00:00:00,User_39,N,Very Dissatisfied,N/A
02/10/2023 00:00:00,User_40,1,Dissatisfied,M
02/11/2023 00:00:00,User_41,0,Dissatisfied,M
02/12/2023 00:00:00,User_42,N,Very satisfied,Other
02/13/2023 00:00:00,User_43,1,Very satisfied,Male
02/14/2023 00:00:00,User_44,no,Very Dissatisfied,N/A
02/15/2023 00:00:00,User_45,1,Very Dissatisfied,F
02/16/2023 00:00:00,User_46,no,Neutral,F
02/17/2023 00:00:00,User_47,yes,Very Dissatisfied,N/A
02/18/2023 00:00:00,User_48,N,Very Dissatisfied,Female
02/19/2023 00:00:00,User_49,Y,Satisfied,N/A
